 , ,Attribute Set,Attribute Code *,Scope,Catalog Input Type for Store Owner,"Default Value
,Fred,b68_Power_Supplies,b68070_power-supply-+12v4-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,+12V4 Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68080_power-supply-+12v5-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,+12V5 Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68090_power-supply-+12v6-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,+12V6 Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68100_power-supply-+3.3v-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,+3.3V Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68110_power-supply-+5v-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,+5V Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68120_power-supply-+5vsb-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,+5VSB Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68130_power-supply--12v-max.-current,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,-12V Max. Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68140_power-supply-12v-power-connector,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,12V Power Connector,N/A,,,,,,
,Fred,b68_Power_Supplies,b68150_power-supply-approvals,Website,Multiple Select,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Approvals,"CB, CE, CSA, FCC, ROHS, TUV, cTUVus, UL",,,,,,
,Fred,b68_Power_Supplies,b68160_power-supply-crossfire,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,6,,Yes,Yes,No,,CrossFire-Ready,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68170_power-supply-dimensions,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Dimensions,N/A,,,,,,
,Fred,b68_Power_Supplies,b68180_power-supply-efficiency,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Efficiency,N/A,,,,,,
,Fred,b68_Power_Supplies,b68190_power-supply-energy-efficient,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,1,,Yes,Yes,No,,Energy-Efficient,"80Plus Titanium, 80Plus Platinum, 80Plus Gold, 80Plus Silver, 80Plus Bronze, 80Plus",,,,,,
,Fred,b68_Power_Supplies,b68200_power-supply-fans total quantity,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,14,,Yes,Yes,No,,Fans Total Quantity,"1, 2, 3+",,,,,,
,Fred,b68_Power_Supplies,b68210_power-supply-features,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Features,N/A,,,,,,
,Fred,b68_Power_Supplies,b68220_power-supply-floppy connector,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Floppy Connector,N/A,,,,,,
,Fred,b68_Power_Supplies,b68230_power-supply-frequency range,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Frequency Range,N/A,,,,,,
,Fred,b68_Power_Supplies,b68240_power-supply-hold-up time,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Hold-up Time,N/A,,,,,,
,Fred,b68_Power_Supplies,b68250_power-supply-input current,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Input Current,N/A,,,,,,
,Fred,b68_Power_Supplies,b68260_power-supply-input voltage,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Input Voltage,N/A,,,,,,
,Fred,b68_Power_Supplies,b68270_power-supply-main connector,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,8,,Yes,Yes,No,,Main Connector,N/A,,,,,,
,Fred,b68_Power_Supplies,b68280_power-supply-modular,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,3,,Yes,Yes,No,,Modular,"Non, Semi-Modular, Full Modular",,,,,,
,Fred,b68_Power_Supplies,b68290_power-supply-mtbf,Website,Text Area,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,MTBF,N/A,,,,,,
,Fred,b68_Power_Supplies,b68300_power-supply-over-current-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Over Current Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68310_power-supply-over-load-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Over Load Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68320_power-supply-over-power-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Over Power Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68330_power-supply-over-temperature-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Over Temperature Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68340_power-supply-over-voltage-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Over Voltage Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68350_power-supply-pci-express connector,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,9,,Yes,Yes,No,,PCI-Express Connector,N/A,,,,,,
,Fred,b68_Power_Supplies,b68360_power-supply-peak-power,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,2,,Yes,Yes,No,,Peak Power,N/A,,,,,,
,Fred,b68_Power_Supplies,b68370_power-supply-peripheral-connector,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,11,,Yes,Yes,No,,Peripheral Connector,N/A,,,,,,
,Fred,b68_Power_Supplies,b68380_power-supply-pfc,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,4,,Yes,Yes,No,,PFC,"Active, No",,,,,,
,Fred,b68_Power_Supplies,b68390_power-supply-power-good-signal,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Power Good Signal,N/A,,,,,,
,Fred,b68_Power_Supplies,b68400_power-supply-power-rating,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Power Rating,N/A,,,,,,
,Fred,b68_Power_Supplies,b68420_power-supply-fan-type,Website,Text Field,,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,12,,Yes,Yes,No,,Fan Type,N/A,,,,,,
,Fred,b68_Power_Supplies,b68430_power-supply-rear-fans-led,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Fans LED,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68450_power-supply-rear-fans-rpm,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Fans RPM,N/A,,,,,,
,Fred,b68_Power_Supplies,b68460_power-supply-rear-fans-size,Website,Text Field,,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,13,,Yes,Yes,No,,Fans Size (mm),N/A,,,,,,
,Fred,b68_Power_Supplies,b68470_power-supply-sata-power-connector,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),Yes,No,10,,Yes,Yes,No,,SATA Power Connector,N/A,,,,,,
,Fred,b68_Power_Supplies,b68480_power-supply-short-circuit-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Short Circuit Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68490_power-supply-sli,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,5,,Yes,Yes,No,,SLI-Ready,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68550_power-supply-type,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Type,N/A,,,,,,
,Fred,b68_Power_Supplies,b68560_power-supply-under-voltage-protection,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Under Voltage Protection,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68570_power-supply-weight,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Weight,N/A,,,,,,
,Fred,b68_Power_Supplies,b68600_psu-brand,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,PSU Brand,Rosewill,,,,,,
,Fred,b68_Power_Supplies,b68610_psu-connectors,Website,Text Area,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,PSU Connectors,N/A,,,,,,
,Fred,b68_Power_Supplies,b68680_psu-haswell-support,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,PSU Haswell Support,"Yes, No",,,,,,
,Fred,b68_Power_Supplies,b68750_psu-model,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,PSU Model,N/A,,,,,,
,Fred,b68_Power_Supplies,b68780_psu-output,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,PSU Output,N/A,,,,,,
,Fred,b68_Power_Supplies,b68850_psu-series,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,PSU Series,N/A,,,,,,
,Fred,b68_Power_Supplies,b68870_psu-type,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,PSU Type,N/A,,,,,,
,Fred,b68_Power_Supplies,b68880_psu-weight,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,PSU Weight,N/A,,,,,,
,Thaid,b69_keyboard,b69000_common-package-contents,Website,Text Area,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Package Contents,N/A,,,,,,
,Thaid,b69_keyboard,b69010_kb-brand,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Brand,Rosewill,,,,,,
,Thaid,b69_keyboard,b69030_kb-design style,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Design Style,"Gaming, Slim, Traditional, Other",,,,,,
,Thaid,b69_keyboard,b69040_kb-dimensions,Website,Text Area,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Dimensions,N/A,,,,,,
,Thaid,b69_keyboard,b69050_kb-distance,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Distance,N/A,,,,,,
,Thaid,b69_keyboard,b69060_kb-features,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Features,N/A,,,,,,
,Thaid,b69_keyboard,b69070_kb-function keys,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Function Keys,N/A,,,,,,
,Thaid,b69_keyboard,b69090_kb-key switch type,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,1,,Yes,Yes,No,,Key Switch Type,"Brown, Blue, Red, Black",,,,,,
,Thaid,b69_keyboard,b69100_kb-keyboard color,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Keyboard Color,"Black, White, Multi-color, Other",,,,,,
,Thaid,b69_keyboard,b69110_kb-keyboard interface,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),No,No,7,,Yes,Yes,No,,Keyboard Interface,"USB, USB or PS/2, Bluetooth, RF",,,,,,
,Thaid,b69_keyboard,b69120_kb-mechanical keyboard,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,2,,Yes,Yes,No,,Mechanical Keyboard,"Yes, No",,,,,,
,Thaid,b69_keyboard,b69130_kb-model,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Model,N/A,,,,,,
,Thaid,b69_keyboard,b69140_kb-mouse color,Website,Multiple Select,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Mouse Color,"Black, Silver, White, Multi-color",,,,,,
,Thaid,b69_keyboard,b69150_kb-mouse dpi,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Mouse DPI,N/A,,,,,,
,Thaid,b69_keyboard,b69160_kb-mouse included,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,8,,Yes,Yes,No,,Mouse Included,"Yes, No, Built-In Touchpad",,,,,,
,Thaid,b69_keyboard,b69170_kb-mouse interface,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Mouse Interface,"USB, USB or PS/2, Bluetooth, RF",,,,,,
,Thaid,b69_keyboard,b69180_kb-name,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Name,N/A,,,,,,
,Thaid,b69_keyboard,b69190_kb-normal keys,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Normal Keys,"87, 104",,,,,,
,Thaid,b69_keyboard,b69200_kb-operating system supported,Website,Multiple Select,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Operating System Supported,"Microsoft ME, Windows 2000, Windows XP, Windows Vista, Windows 7, Windows 8.1, Other",,,,,,
,Thaid,b69_keyboard,b69220_kb-palm rest,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,3,,Yes,Yes,No,,Palm Rest,"Detachable, Yes, No",,,,,,
,Thaid,b69_keyboard,b69230_kb-power supply,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Power Supply,N/A,,,,,,
,Thaid,b69_keyboard,b69240_kb-scrolling capability,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Scrolling Capability,"Wheel, None",,,,,,
,Thaid,b69_keyboard,b69270_kb-tracking method,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,Filterable (Without Results),No,No,5,,Yes,Yes,No,,Tracking Method,"Optical, Laser, Other",,,,,,
,Thaid,b69_keyboard,b69280_kb-type,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),No,No,6,,Yes,Yes,No,,Type,"Wired, Wireless",,,,,,
,Thaid,b69_keyboard,b69290_manufacturer warranty_labor,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Manufacturer Warranty Labor," 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, 6 Years, 7 Years, 10 Years, Lifetime",,,,,,
,Thaid,b69_keyboard,b69300_manufacturer warranty_parts,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Manufacturer Warranty Parts," 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, 6 Years, 7 Years, 10 Years, Lifetime",,,,,,
,Thaid,b69_keyboard,b69310_mouse-mouse-adjustable-weight,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,Filterable (Without Results),,No,4,,Yes,Yes,No,,Mouse Adjustable Weight,"Yes, No",,,,,,
,Thaid,b69_keyboard,b69320_mouse-mouse-grip-style,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Mouse Grip Style,N/A,,,,,,
,Thaid,b70_mouse,b70000_common-package-contents,Website,Text Area,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Package Contents,N/A,,,,,,
,Thaid,b70_mouse,b70010_manufacturer-warranty-labor,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Manufacturer Warranty Labor," 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, 6 Years, 7 Years, 10 Years, Lifetime",,,,,,
,Thaid,b70_mouse,b70020_manufacturer-warranty-parts,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Manufacturer Warranty Parts," 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, 6 Years, 7 Years, 10 Years, Lifetime",,,,,,
,Thaid,b70_mouse,b70030_mouse-brand,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Brand,Rosewill,,,,,,
,Thaid,b70_mouse,b70040_mouse-buttons,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,1,,Yes,Yes,No,,Buttons,"3, 5, 7, Other",,,,,,
,Thaid,b70_mouse,b70050_mouse-color,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Color,N/A,,,,,,
,Thaid,b70_mouse,b70060_mouse-features,Website,Text Area,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Features,N/A,,,,,,
,Thaid,b70_mouse,b70070_mouse-hand-orientation,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,3,,Yes,Yes,No,,Hand Orientation,"Right, Left, Either",,,,,,
,Thaid,b70_mouse,b70080_mouse-interface,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,4,,Yes,Yes,No,,Interface,"USB, PS/2, RF Wireless",,,,,,
,Thaid,b70_mouse,b70090_mouse-maximum-dpi,Website,Text Field,,No,No,None,All Product Types,Yes,,Yes,No,No,No,,,Yes,Yes,No,,Maximum dpi,N/A,,,,,,
,Thaid,b70_mouse,b70100_mouse-model,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Model,N/A,,,,,,
,Thaid,b70_mouse,b70110_mouse-mouse-adjustable-weight,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (With Results),Yes,No,2,,Yes,Yes,No,,Adjustable Weight,"Yes, No",,,,,,
,Thaid,b70_mouse,b70120_mouse-mouse-grip-style,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Grip Style,N/A,,,,,,
,Thaid,b70_mouse,b70130_mouse-name,Website,Text Field,,No,No,None,All Product Types,No,,Yes,No,No,No,,,Yes,Yes,No,,Name,N/A,,,,,,
,Thaid,b70_mouse,b70140_mouse-operating-system-supported,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),No,No,7,,Yes,Yes,No,,Operating System Supported,"Windows 95, Windows 98, Windows 2000, Microsoft ME, Windows XP, Windows Vista, Windows 7, Windows 8.1, Windows NT ",,,,,,
,Thaid,b70_mouse,b70150_mouse-scrolling-capability,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),No,No,6,,Yes,Yes,No,,Scrolling Capability,"Wheel, Other",,,,,,
,Thaid,b70_mouse,b70170_mouse-tracking-method,Website,Dropdown,,No,No,None,All Product Types,Yes,,Yes,Filterable (Without Results),No,No,5,,Yes,Yes,No,,Tracking Method,"Optical, Laser, Other",,,,,,
,Thaid,b70_mouse,b70180_mouse-type,Website,Dropdown,,No,No,None,All Product Types,No,,Yes,Filterable (With Results),Yes,No,8,,Yes,Yes,No,,Type,"Wired, Wireless",,,,,,
